Activity,Screening (-28 to -1d),Baseline / Day 1 (C1D1),Day 8 (C1D8),Day 15 (C1D15)*,Cycle 2 Day 1 (C2D1),Cycle 3 Day 1 (C3D1),Each Cycle Day 1 (C4+),Week 6 (±7d),Week 12 (±7d),Week 18 (±7d),End of Treatment (EOT),Safety FU (30±7d),Survival FU (q12w)
Informed consent,X,,,,,,,,,,,,
Inclusion/Exclusion criteria,X,,,,,,,,,,,,
Demographics & medical history,X,,,,,,,,,,,,
Concomitant medications,X,X,X,X,X,X,X,,,,X,X,
Randomization,,X,,,,,,,,,,,
Height,,X,,,,,,,,,,,
Weight/BMI,,X,X,X,X,X,X,,,,X,X,
Pregnancy test (WOCBP),X,X,,,If indicated,,If indicated,,,,If indicated,If indicated,
Physical exam (targeted),,X,X,X,X,X,X,,,,X,If indicated,
ECOG performance status,,X,,,X,X,X,,,,X,,
Vital signs (pre/post dose as applicable),,X,X,X,X,X,X,,,,X,If indicated,
12‑lead ECG,X,X,,,If indicated,,If indicated,,,,If indicated,If indicated,
Echocardiogram/MUGA (LVEF),If indicated,,,,,,Every 12 weeks if cardiotoxic risk,,,,If indicated,,
Hematology (CBC),,X,X,X,X,X,X,,,,X,If indicated,
Chemistry panel (CMP),,X,X,X,X,X,X,,,,X,If indicated,
Urinalysis,X,,,,,,Every 2 cycles,,,,If indicated,If indicated,
"Tumor markers (e.g., CA 15‑3)",X,X,,,Every 2 cycles,,Every 2 cycles,,,,X,,
Archival tumor tissue collection,X (if available),,,,,,,,,,,,
Baseline biopsy (optional),Optional,,,,,,,,,,,,
On‑treatment biopsy (optional),,,,,,,Optional at PD,,,,,,
Imaging (CT/MRI per RECIST 1.1),X (baseline),,,,,,,X,X,X,If not within 6w prior,,If clinically indicated
Brain MRI (if symptomatic or known mets),If indicated,,,,,,,If indicated,If indicated,If indicated,If indicated,,If clinically indicated
Study drug administration,,X,,,X,X,X (q3w),,,,,,
Premedication/infusion reactions,,As per protocol,,,As per protocol,As per protocol,As per protocol,,,,,,
Pharmacokinetics (PK)†,,Optional,Optional,,,,Optional,,,,,,
Patient‑reported outcomes (EORTC QLQ‑C30/BR23),,X,,,,X,Every 2 cycles,X,X,,X,,
Adverse event assessment,,X,X,X,X,X,X,,,,X,X,
Dose modifications/interruptions,,,As needed,As needed,As needed,As needed,As needed,,,,,,
Drug accountability,,X,,,X,X,X,,,,X,,
End of treatment assessments,,,,,,,,,,,X,,
Survival status,,,,,,,,,,,,,X (q12w)
